Function: Tokens -> Full-Fits-Request : Full-Fits-Response: Function-Fits-Request: Function-Fits-Response: Decls-Fit-Request: Decls-Fit-Response 
opng_optimize_impl: 1260 -> True : True: True: True: True: True 
osys_fgetsize: 3014 -> True : True: True: True: True: True 
osys_fread_at: 3192 -> True : True: True: True: True: True 
opng_bitset_find_prev: 473 -> True : True: True: True: True: True 
check_obj_option: 699 -> True : True: True: True: True: True 
osys_terminate: 3005 -> True : True: True: True: True: True 
osys_path_chdir: 3125 -> True : True: True: True: True: True 
opng_init_write_data: 657 -> True : True: True: True: True: True 
opng_snprintf_impl: 250 -> True : True: True: True: True: True 
osys_path_chext: 2972 -> True : True: True: True: True: True 
app_progress: 677 -> True : True: True: True: True: True 
opng_store_image_info: 1360 -> True : True: True: True: True: True 
opng_bitset_find_first: 470 -> True : True: True: True: True: True 
opng_init_iterations: 1410 -> True : True: True: True: True: True 
opng_iterate: 891 -> True : True: True: True: True: True 
opng_print_error: 515 -> True : True: True: True: True: True 
opng_bitset_find_last: 470 -> True : True: True: True: True: True 
opng_load_image_info: 1299 -> True : True: True: True: True: True 
check_power2_option: 657 -> True : True: True: True: True: True 
opng_ullratio_to_factor_string: 248 -> True : True: True: True: True: True 
opng_clear_image_info: 926 -> True : True: True: True: True: True 
__bswap_32: 444 -> True : True: True: True: True: True 
opng_str2ulong: 723 -> True : True: True: True: True: True 
app_printf: 783 -> True : True: True: True: True: True 
opng_strltrim: 684 -> True : True: True: True: True: True 
osys_create_dir: 3250 -> True : True: True: True: True: True 
opng_sprint_uratio_impl: 191 -> True : True: True: True: True: True 
opng_init_read_data: 491 -> True : True: True: True: True: True 
opng_ulratio_to_percent_string: 237 -> True : True: True: True: True: True 
opng_print_fsize_difference: 512 -> True : True: True: True: True: True 
__uint16_identity: 445 -> True : True: True: True: True: True 
opng_print_warning: 515 -> True : True: True: True: True: True 
opng_print_image_info: 904 -> True : True: True: True: True: True 
opng_is_image_chunk: 578 -> True : True: True: True: True: True 
__bswap_16: 445 -> True : True: True: True: True: True 
osys_path_mkbak: 3074 -> True : True: True: True: True: True 
main: 2142 -> True : True: True: True: True: True 
err_option_arg: 657 -> True : True: True: True: True: True 
opng_warning: 663 -> True : True: True: True: True: True 
opng_write_data: 1100 -> True : True: True: True: True: True 
osys_fwrite_at: 3201 -> True : True: True: True: True: True 
osys_unlink: 2963 -> True : True: True: True: True: True 
opng_destroy_image_info: 926 -> True : True: True: True: True: True 
error: 783 -> True : True: True: True: True: True 
check_rangeset_option: 657 -> True : True: True: True: True: True 
osys_ftello: 2984 -> True : True: True: True: True: True 
opng_free: 506 -> True : True: True: True: True: True 
app_print_cntrl: 728 -> True : True: True: True: True: True 
osys_copy_attr: 3303 -> True : True: True: True: True: True 
osys_fseeko: 3000 -> True : True: True: True: True: True 
opng_read_data: 1133 -> True : True: True: True: True: True 
opng_bitset_find_next: 473 -> True : True: True: True: True: True 
opng_write_file: 1538 -> True : True: True: True: True: True 
__bswap_64: 445 -> True : True: True: True: True: True 
opng_check_idat_size: 574 -> True : True: True: True: True: True 
opng_is_apng_chunk: 640 -> True : True: True: True: True: True 
opng_rangeset2bitset: 710 -> True : True: True: True: True: True 
opng_finalize: 706 -> True : True: True: True: True: True 
opng_initialize: 858 -> True : True: True: True: True: True 
opng_ulratio_to_factor_string: 237 -> True : True: True: True: True: True 
opng_ullratio_to_percent_string: 248 -> True : True: True: True: True: True 
opng_allow_chunk: 724 -> True : True: True: True: True: True 
opng_strcasecmp: 673 -> True : True: True: True: True: True 
opng_rangeset_string_to_bitset: 535 -> True : True: True: True: True: True 
opng_set_keep_unknown_chunk: 626 -> True : True: True: True: True: True 
app_finish: 686 -> True : True: True: True: True: True 
check_num_option: 657 -> True : True: True: True: True: True 
opng_bitset_count: 470 -> True : True: True: True: True: True 
opng_finish_iterations: 705 -> True : True: True: True: True: True 
__uint64_identity: 445 -> True : True: True: True: True: True 
osys_rename: 3007 -> True : True: True: True: True: True 
opng_error: 705 -> True : True: True: True: True: True 
opng_strtail: 697 -> True : True: True: True: True: True 
opng_optimize: 919 -> True : True: True: True: True: True 
opng_copy_file: 1121 -> True : True: True: True: True: True 
__uint32_identity: 444 -> True : True: True: True: True: True 
panic: 881 -> True : True: True: True: True: True 
opng_read_file: 1879 -> True : True: True: True: True: True 
opng_handle_chunk: 1016 -> True : True: True: True: True: True 
process_files: 947 -> True : True: True: True: True: True 
scan_option: 707 -> True : True: True: True: True: True 
parse_args: 1068 -> True : True: True: True: True: True 
opng_print_fsize_ratio: 565 -> True : True: True: True: True: True 
opng_strpbrk_digit: 684 -> True : True: True: True: True: True 
opng_init_iteration: 713 -> True : True: True: True: True: True 
app_init: 937 -> True : True: True: True: True: True 
Summary:
Total function: 86
Full function + decls -> 86 fits in request limit, 86 fits in response limit
Function only -> 86 fits in request limit, 86 fits in response limit
Decls only -> 86 fits in request limit, 86 fits in response limit
